,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
115,N/A,N/A,dds,N/A,N/A,N/A,N/A,N/A,51.41,17.57,0.31,1.24,1.92,3.90,3.69,1970000000.0,205.41,1970000000.0,2670000000.0,16.45,2.71,0.42,5.51,0.42,2250000000.0,1970000000.0,120670000.0,3.93,36.20,0.70,114860000.0,4.03,817740000.0,1.42,55.84,446600000.0,1970000000.0,16.76,108.06,7240000.0,9.82,48.25,7090000.0,N/A
116,N/A,N/A,de,N/A,N/A,N/A,N/A,N/A,419.63,25.67,1.91,5.77,7.43,10.06,2.96,55440000000.0,90.99,55440000000.0,87180000000.0,16.90,1.04,3.00,19.27,3.00,9800000000.0,55440000000.0,2160000000.0,6.68,78.90,21.70,8320000000.0,25.78,40180000000.0,2.14,29.70,2200000000.0,55440000000.0,0.11,79.35,11580000.0,6.42,3.64,11030000.0,N/A
117,N/A,N/A,df,N/A,N/A,N/A,N/A,N/A,156.59,22.97,0.12,1.58,0.53,2.14,4.15,958070000.0,86.80,958070000.0,1880000000.0,12.09,1.42,0.24,5.47,0.24,1990000000.0,958070000.0,31430000.0,0.46,90.50,1.40,24350000.0,0.27,946480000.0,1.28,6.64,139520000.0,958070000.0,9.77,99.31,9260000.0,5.05,13.72,10530000.0,N/A
118,N/A,N/A,dfs,N/A,N/A,N/A,N/A,N/A,241.70,14.94,3.30,2.66,23.53,39.83,2.18,29430000000.0,23.85,29430000000.0,40120000000.0,9.45,0.89,4.50,23.53,4.50,2029999999.9999998,29430000000.0,2029999999.9999998,5.42,31.30,33.10,14950000000.0,41.77,26330000000.0,1.54,30.42,1.72,29430000000.0,14.19,0.00,4620000.0,1.95,1.21,4680000.0,N/A
119,N/A,N/A,dg,N/A,N/A,N/A,N/A,N/A,54.33,23.33,1.22,4.98,5.31,8.98,10.79,28600000000.0,85.18,28600000000.0,31490000000.0,19.39,2.55,1.35,12.64,1.35,6780000000.0,28600000000.0,1240000000.0,4.51,7.30,11.00,226190000.0,0.83,3120000000.0,1.41,21.15,1620000000.0,28600000000.0,0.11,104.57,10790000.0,5.26,4.42,13060000.0,N/A
120,N/A,N/A,dgx,N/A,N/A,N/A,N/A,N/A,78.27,22.35,1.90,3.02,8.82,15.35,7.11,14530000000.0,55.72,14530000000.0,18020000000.0,17.57,2.28,2.36,12.59,2.36,2900000000.0,14530000000.0,4.77,4.77,16.10,2.40,2.57,2.57,3840000000.0,1.47,35.25,1160000000.0,14530000000.0,0.43,92.25,5570000.0,4.24,5.23,4850000.0,N/A
121,N/A,N/A,dhi,N/A,N/A,N/A,N/A,N/A,37.06,18.38,1.34,2.44,7.37,11.58,8.59,18930000000.0,37.65,18930000000.0,20780000000.0,12.49,0.88,1.48,12.33,1.48,3050000000.0,18930000000.0,1040000000.0,2.74,10.40,11.20,2.59,2.59,2870000000.0,6.02,20.66,435100000.0,18930000000.0,6.30,85.73,0.00,0.00,0.00,0.5,N/A
122,N/A,N/A,dhr,N/A,N/A,N/A,N/A,N/A,42.98,30.67,4.05,2.85,13.36,17.48,4.47,72200000000.0,25.66,72200000000.0,81700000000.0,23.86,3.11,4.58,18.82,4.58,9330000000.0,72200000000.0,2360000000.0,3.38,46.10,9.60,648600000.0,0.93,10910000000.0,1.43,36.49,3290000000.0,72200000000.0,11.88,79.02,0.00,0.00,0.00,0.56,N/A
123,N/A,N/A,dis,N/A,N/A,N/A,N/A,N/A,54.80,19.72,3.07,4.12,16.29,25.37,9.31,169100000000.0,35.16,169100000000.0,190720000000.0,16.14,2.08,3.46,11.37,3.46,24830000000.0,169100000000.0,8980000000.0,5.69,1.40,2.80,4019999999.9999995,2.66,25290000000.0,0.81,27.24,12340000000.0,169100000000.0,4.39,63.17,22320000.0,2.93,1.41,23510000.0,N/A
124,N/A,N/A,disca,N/A,N/A,N/A,N/A,N/A,241.12,13.70,2.14,2.57,16.63,32.94,7.06,14280000000.0,15.31,14280000000.0,20630000000.0,11.47,0.97,3.09,8.17,3.09,4070000000.0000005,14280000000.0,1.90,1.90,0.50,6.10,7170000000.0,14.43,14710000000.0,5.87,10.14,1710000000.0,14280000000.0,1.43,125.51,35290000.0,5.93,120.02,33560000.0,N/A
125,N/A,N/A,dks,N/A,N/A,N/A,N/A,N/A,27.83,12.36,0.43,1.88,3.54,5.72,6.56,3620000000.0,77.42,3620000000.0,4030000000.0000005,12.57,1.50,0.48,5.50,0.48,2370000000.0,3620000000.0,297680000.0,2.72,24.50,7.40,111810000.0,1.04,521289999.99999994,1.61,17.95,691440000.0,3620000000.0,3.38,98.87,14800000.0,3.98,17.10,12530000.0,N/A
126,N/A,N/A,dlph,N/A,N/A,N/A,N/A,N/A,57.47,10.93,1.06,4.65,6.52,13.24,4710000000.0,4970000000.0,11.90,4970000000.0,10.93,11.77,1.67,6.52,6.52,6.52,5.13,4970000000.0,5.13,5.13,1.30,11.90,57.47,57.47,57.47,2.05,12.05,20.40,4970000000.0,0.05,22.08,3090000.0,1.83,1.15,2740000.0,N/A
127,N/A,N/A,dltr,N/A,N/A,N/A,N/A,N/A,93.57,27.56,1.27,4.47,4.63,8.47,7.14,27370000000.0,90.99,27370000000.0,32689999999.999996,20.65,1.65,1.52,13.43,1.52,6390000000.0,27370000000.0,4.19,4.19,39.80,6.30,400100000.0,1.69,5720000000.0,1.95,25.80,1610000000.0,27370000000.0,2.68,90.94,4560000.0,2.53,1.98,4940000.0,N/A
128,N/A,N/A,dlx,N/A,N/A,N/A,N/A,N/A,69.88,16.34,1.89,3.65,11.71,20.08,11.23,3710000000.0,40.61,3710000000.0,4350000000.0,13.37,1.79,2.21,8.41,2.21,1180000000.0,3710000000.0,230200000.0,4.72,56.20,3.10,59200000.0,1.23,709300000.0,0.92,21.15,338400000.0,3710000000.0,1.37,97.55,4600000.0,18.17,10.69,5200000.0,N/A
129,N/A,N/A,dnb,N/A,N/A,N/A,N/A,N/A,0.93,24.01,2.66,3.38,11.12,23.25,11.66,4610000000.0,46.99,4610000000.0,5860000000.0,16.90,2.75,3.38,13.83,3.38,1700000000.0,4610000000.0,196700000.0,5.20,11.66,3.80,11.66,11.66,1680000000.0,0.93,23.65,266320000.0,4610000000.0,0.37,95.86,2.46,2.46,1.74,2.01,N/A
130,N/A,N/A,dnr,N/A,N/A,N/A,N/A,N/A,607.30,8.86,0.95,1.95,32.91,13.17,1.89,1010000000.0,2.72,1010000000.0,4150000000.0000005,8.86,0.30,3.91,11.77,3.91,545630000.0,1010000000.0,349360000.0,0.90,3140000000.0,7.90,3140000000.0,3140000000.0,3140000000.0,0.53,1.32,202720000.0,1010000000.0,1.64,83.74,60100000.0,7.71,19.68,62530000.0,N/A
131,N/A,N/A,do,N/A,N/A,N/A,N/A,N/A,51.83,15.75,1.75,0.69,11.11,20.67,3.07,2620000000.0,10.92,2620000000.0,4310000000.0,238.25,1.32,2.88,6.55,2.88,1540000000.0,2620000000.0,166370000.0,1.21,22.50,5.30,276690000.0,2.02,1970000000.0,3.58,27.73,521200000.00000006,2620000000.0,0.13,118.61,31430000.0,11.78,49.08,33700000.0,N/A
132,N/A,N/A,dov,N/A,N/A,N/A,N/A,N/A,81.14,24.43,2.16,3.83,8.91,11.93,5.72,16360000000.0,48.79,16360000000.0,19510000000.0,22.40,1.62,2.57,15.05,2.57,2470000000.0,16360000000.0,676380000.0,4.30,37.50,17.50,322040000.0,2.07,3470000000.0,1.32,27.44,790990000.0,16360000000.0,0.96,89.31,2790000.0,2.23,2.02,2630000.0,N/A
133,N/A,N/A,dps,N/A,N/A,N/A,N/A,N/A,210.71,23.99,2.61,8.12,11.06,20.47,9.06,17270000000.0,36.23,17270000000.0,21690000000.0,18.57,2.36,3.27,13.79,3.27,3860000000.0,17270000000.0,3.99,3.99,15.40,3.60,0.38,0.38,4490000000.0,0.93,11.79,0.43,17270000000.0,0.33,96.05,7310000.0,5.21,3.99,2.32,N/A
134,N/A,N/A,dri,N/A,N/A,N/A,N/A,N/A,55.11,25.25,1.60,6.16,6.46,9.55,9.31,12180000000.0,61.29,12180000000.0,13140000000.0,18.38,1.52,1.72,13.10,1.72,1570000000.0,12180000000.0,501600000.0,3.90,6.50,14.60,114700000.0,0.93,1090000000.0,0.34,16.00,923900000.0,12180000000.0,0.18,93.83,8410000.0,5.95,7.54,8390000.0,N/A
135,N/A,N/A,dsw,N/A,N/A,N/A,N/A,N/A,2.74,19.63,0.61,1.77,3.13,6.44,7.74,1680000000.0,34.35,1680000000.0,1350000000.0,12.88,4.51,0.49,5.21,0.49,771830000.0,1680000000.0,86130000.0,1.07,89.60,1.70,329550000.0,4.12,2.74,2.74,11.86,240720000.0,1680000000.0,11.36,102.56,12450000.0,6.07,21.54,12480000.0,N/A
